Date,MOH,ANTM,HUM,UNH
8/17/17,59.509998,191.960007,247.660004,192.699997
8/18/17,59.630001,191.020004,247.279999,190.820007
8/21/17,59.98,192.970001,249.360001,192.029999
8/22/17,60.540001,194.949997,253.279999,194.789993
8/23/17,60.509998,195.229996,251.990005,194.240005
8/24/17,61.299999,192.899994,251.850006,194.75
8/25/17,62.029999,192.679993,253,194.360001
8/28/17,63.18,193.479996,255.070007,195.089996
8/29/17,63.5,193.830002,255.669998,196.729996
8/30/17,62.91,191.5,254.240005,195.880005
8/31/17,64,196.039993,257.619995,198.899994
9/1/17,64.25,197.429993,258.75,199.75
9/5/17,65.419998,197.179993,257.549988,199.309998
9/6/17,64.650002,193.649994,256.880005,198.380005
9/7/17,64.970001,192.639999,256.529999,198.169998
9/8/17,65.040001,193.850006,256.559998,197.75
9/11/17,65.879997,195.949997,257.209991,199.580002
9/12/17,65.739998,189.240005,255.100006,197.470001
9/13/17,66.07,189.720001,251.539993,198.330002
9/14/17,66.139999,186.75,250.649994,197.729996
9/15/17,66.620003,186.589996,249.279999,198.179993
9/18/17,66,185,248.449997,198.190002
9/19/17,62.119999,181.440002,240.039993,194.649994
9/20/17,62.580002,183.490005,239.679993,195.75
9/21/17,62.509998,183.5,238.639999,195.210007
9/22/17,65.32,182.860001,239.089996,193.029999
9/25/17,64.540001,181.5,237.210007,191.75
9/26/17,65.589996,184.279999,239.210007,192.699997
9/27/17,66.540001,186.449997,238.869995,194.490005
9/28/17,67.589996,189.779999,242.75,196.100006
9/29/17,68.760002,189.880005,243.630005,195.850006
10/2/17,68.510002,191.110001,245,197.440002
10/3/17,67.400002,193.229996,247.389999,198.630005
10/4/17,67.019997,193.419998,246.509995,200.479996
10/5/17,67.370003,192.919998,245.360001,197.899994
10/6/17,67.860001,193.220001,246.899994,198.059998
10/9/17,66.660004,190.740005,240.410004,196.300003
10/10/17,65.160004,188.639999,240.490005,194.679993
10/11/17,63.580002,189.889999,240.380005,195.259995
10/12/17,63.419998,189.740005,241.440002,192.919998
10/13/17,61.279999,183.830002,237.729996,192.520004
10/16/17,59.860001,183.759995,237.169998,193.199997
10/17/17,61.540001,187.259995,240.429993,203.889999
10/18/17,63.09,191.789993,241.309998,205.229996
10/19/17,63.639999,193.199997,242.690002,203.25
10/20/17,64.400002,194.690002,245.809998,207.490005
10/23/17,66.25,195.639999,246.130005,207.009995
10/24/17,66.239998,195.25,246.490005,208.149994
10/25/17,66.629997,205.710007,248.360001,207.559998
10/26/17,65.529999,206.910004,251.520004,209.149994
10/27/17,67.139999,211.339996,258.970001,212.600006
10/30/17,66.660004,209.460007,255.660004,209.389999
10/31/17,67.830002,209.210007,255.350006,210.220001
11/1/17,68.18,209.529999,255.479996,209.529999
11/2/17,69,210.589996,256.350006,211.100006
11/3/17,79.18,211.800003,256.690002,212.869995
11/6/17,78.980003,216.300003,254.479996,212.119995
11/7/17,77.529999,217.470001,256.309998,212.699997
11/8/17,76.559998,216.869995,243.479996,210.770004
11/9/17,76.599998,215.979996,247.460007,211.559998
11/10/17,76.900002,218.270004,244.389999,211.070007
11/13/17,77.910004,218.460007,240.940002,212.660004
11/14/17,78.050003,218.449997,239.559998,211.710007
11/15/17,76.199997,218.199997,233.279999,209.860001
11/16/17,75.699997,220.889999,235.910004,211.130005
11/17/17,74.790001,220.830002,233.460007,209.899994
11/20/17,75.040001,219.5,233.479996,210.25
11/21/17,74.910004,220.020004,236.419998,212.600006
11/22/17,75.459999,220.419998,238.300003,211.220001
11/24/17,75.080002,220.389999,240.509995,212.509995
11/27/17,75.080002,220.029999,243.559998,212.399994
11/28/17,74.989998,222.279999,244.220001,216.139999
11/29/17,77.370003,227.309998,250.130005,222.880005
11/30/17,78.239998,234.960007,260.859985,228.169998
12/1/17,78.110001,232.339996,258.529999,226.779999
12/4/17,77.480003,224.949997,252.279999,221.419998
12/5/17,76.510002,223.490005,253.339996,220.089996
12/6/17,74.290001,222.710007,250.300003,219.940002
12/7/17,74.459999,223.639999,253.899994,220.149994
12/8/17,75.110001,224.850006,256.48999,223.910004
12/11/17,73.830002,226.020004,253.029999,222.770004
12/12/17,74.080002,228.75,254.639999,222.490005
12/13/17,75.089996,232.059998,256.23999,224.350006
12/14/17,74.57,227.119995,250.610001,221.25
12/15/17,76.269997,226.210007,253.639999,221.820007
12/18/17,76.660004,227.020004,246.380005,222.669998
12/19/17,76.510002,227.990005,245.160004,222.039993
12/20/17,78.400002,227.919998,245.160004,222.380005
12/21/17,75.279999,225.080002,243.580002,221.690002
12/22/17,74.029999,225.600006,245,220
12/26/17,75.860001,225.429993,246.25,219.600006
12/27/17,77.419998,225.240005,248.149994,220.419998
12/28/17,77.900002,227.039993,249.009995,222.770004
12/29/17,76.68,225.009995,248.070007,220.460007
1/2/18,78,226,251.639999,221.160004
1/3/18,77.169998,229.149994,251.279999,223.479996
1/4/18,77.639999,230.210007,258.359985,224.449997
1/5/18,80.589996,234.339996,264.329987,228.729996
1/8/18,82.730003,231.820007,258.549988,224.759995
1/9/18,85.660004,234.660004,263.079987,225.880005
1/10/18,85.059998,233.889999,263.100006,224.199997
1/11/18,84.410004,235,265.209991,225.389999
1/12/18,85.82,239.820007,268.019989,228.639999
1/16/18,89.629997,241.75,270.170013,232.899994
1/17/18,91.970001,249.149994,275.75,238.429993
1/18/18,93.769997,249.649994,279.440002,243.160004
1/19/18,91.830002,250.059998,279.299988,243.350006
1/22/18,91.970001,250.5,281.869995,243.559998
1/23/18,92.269997,250.5,282.859985,245.210007
1/24/18,92,252.990005,286.320007,244.850006
1/25/18,92.059998,251.350006,285.910004,245.179993
1/26/18,92.489998,258.190002,288.290009,248.470001
1/29/18,91.790001,257.019989,291.230011,247.410004
1/30/18,91.029999,243.440002,282.290009,236.649994
1/31/18,91.360001,247.850006,281.829987,236.779999
2/1/18,91.480003,243.929993,279.769989,235.220001
2/2/18,90.629997,239.179993,276.5,231.880005
2/5/18,87.589996,230.449997,267.100006,220.020004
2/6/18,82.43,234.830002,269.119995,225.179993
2/7/18,81.660004,238.440002,264.899994,225.820007
2/8/18,77.989998,230.570007,262.369995,216.460007
2/9/18,78.440002,231.710007,265.320007,220.960007
2/12/18,78.389999,232.770004,267.049988,225.690002
2/13/18,75.459999,233.449997,268.070007,226.639999
2/14/18,73.25,235.020004,267.470001,228.779999
2/15/18,72.599998,232.059998,267.450012,226.020004
2/16/18,72.120003,235.020004,269,229.369995
2/20/18,71.860001,232.220001,267.329987,226.660004
2/21/18,71.139999,232.029999,266.380005,225.130005
2/22/18,71.559998,233.679993,267.809998,227.089996
2/23/18,72.940002,235.240005,271.190002,230.160004
2/26/18,74,238.220001,274.579987,234.059998
2/27/18,73.07,237.210007,276.920013,232.520004
2/28/18,72.300003,235.380005,271.820007,226.160004
3/1/18,71.879997,232.039993,269.720001,224.449997
3/2/18,72.989998,233.080002,269.799988,225.190002
3/5/18,74.089996,232.039993,270.589996,228.380005
3/6/18,73.989998,232.75,273.109985,226.179993
3/7/18,74.75,231.860001,273.290009,227.270004
3/8/18,74.75,228.789993,269.519989,224.729996
3/9/18,75.489998,232.800003,272.5,225.429993
3/12/18,75.809998,229.860001,268.209991,222.770004
3/13/18,76.139999,230.220001,269.980011,226.940002
3/14/18,76.230003,229.029999,270.5,225.380005
3/15/18,75.870003,230,271.089996,229.479996
3/16/18,76.830002,228.110001,272.730011,227.860001
3/19/18,76.860001,227.990005,269.980011,225.050003
3/20/18,77.879997,229.979996,273.600006,226.779999
3/21/18,78.290001,225.990005,270.809998,222.820007
3/22/18,77,218.850006,265.720001,215.210007
