t,Date,MOH,ANTM,HUM,UNH
438,10/11/17,63.580002,189.889999,240.38000499999998,195.259995
439,10/12/17,63.419998,189.740005,241.440002,192.919998
440,10/13/17,61.279999,183.830002,237.729996,192.520004
441,10/16/17,59.860001000000004,183.759995,237.169998,193.199997
442,10/17/17,61.540001000000004,187.259995,240.42999300000002,203.889999
443,10/18/17,63.09,191.78999299999998,241.309998,205.229996
444,10/19/17,63.639998999999996,193.199997,242.690002,203.25
445,10/20/17,64.400002,194.690002,245.809998,207.490005
446,10/23/17,66.25,195.639999,246.13000499999998,207.009995
447,10/24/17,66.239998,195.25,246.49000499999997,208.149994
448,10/25/17,66.629997,205.71000700000002,248.36000099999998,207.559998
449,10/26/17,65.529999,206.91000400000001,251.520004,209.149994
450,10/27/17,67.139999,211.33999599999999,258.97000099999997,212.600006
451,10/30/17,66.660004,209.46000700000002,255.66000400000001,209.389999
452,10/31/17,67.83000200000001,209.21000700000002,255.350006,210.22000099999997
453,11/1/17,68.18,209.529999,255.479996,209.529999
454,11/2/17,69.0,210.58999599999999,256.350006,211.100006
455,11/3/17,79.18,211.80000299999998,256.690002,212.86999500000002
456,11/6/17,78.980003,216.30000299999998,254.479996,212.11999500000002
457,11/7/17,77.529999,217.47000099999997,256.309998,212.69999700000002
458,11/8/17,76.559998,216.86999500000002,243.479996,210.770004
459,11/9/17,76.599998,215.979996,247.460007,211.559998
460,11/10/17,76.900002,218.270004,244.38999900000002,211.07000699999998
461,11/13/17,77.910004,218.460007,240.940002,212.66000400000001
462,11/14/17,78.050003,218.44999700000002,239.559998,211.710007
463,11/15/17,76.199997,218.19999700000002,233.27999900000003,209.86000099999998
